Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,11/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3.625 05/18/2028 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 3 08/26/2025 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 4.375 10/02/2026 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp,NXTLN 5.375 10/26/2021 REGS Corp
,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability
Dates,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB
1/1/2018,3.151,104.125,IG6,101.6,0.000285625,0.00314471,0.007784254,0.017511537,,,IG6,101.6,0.000285625,0.00314471,0.007784254,0.017511537,2.889,111.328,IG6,101.6,0.000285625,0.00314471,0.007784254,0.017511537,1.651,113.639,IG6,101.6,0.000285625,0.00314471,0.007784254,0.017511537
1/2/2018,3.25,103.242,IG6,100.8,0.0002866,0.00314671,0.007783661,0.017499593,,,IG6,100.8,0.0002866,0.00314671,0.007783661,0.017499593,2.989,110.515,IG6,100.8,0.0002866,0.00314671,0.007783661,0.017499593,1.709,113.397,IG6,100.8,0.0002866,0.00314671,0.007783661,0.017499593
1/3/2018,3.121,104.39,IG5,100.4,0.000271182,0.003059404,0.007631077,0.017268382,,,IG5,100.4,0.000271182,0.003059404,0.007631077,0.017268382,2.873,111.456,IG5,100.4,0.000271182,0.003059404,0.007631077,0.017268382,1.627,113.714,IG5,100.4,0.000271182,0.003059404,0.007631077,0.017268382
1/4/2018,3.138,104.24,IG4,94.4,0.000117806,0.001906397,0.005353851,0.013240491,,,IG4,94.4,0.000117806,0.001906397,0.005353851,0.013240491,2.886,111.339,IG4,94.4,0.000117806,0.001906397,0.005353851,0.013240491,1.646,113.613,IG4,94.4,0.000117806,0.001906397,0.005353851,0.013240491
1/5/2018,3.15,104.131,IG4,94.1,0.000112251,0.001855525,0.005247811,0.013046158,,,IG4,94.1,0.000112251,0.001855525,0.005247811,0.013046158,2.898,111.239,IG4,94.1,0.000112251,0.001855525,0.005247811,0.013046158,1.656,113.561,IG4,94.1,0.000112251,0.001855525,0.005247811,0.013046158
1/8/2018,3.134,104.269,IG4,92.7,0.000108407,0.001820293,0.005174749,0.012913902,,,IG4,92.7,0.000108407,0.001820293,0.005174749,0.012913902,2.886,111.333,IG4,92.7,0.000108407,0.001820293,0.005174749,0.012913902,1.658,113.545,IG4,92.7,0.000108407,0.001820293,0.005174749,0.012913902
1/9/2018,3.164,104.005,IG4,92.3,0.000102564,0.001764455,0.005056712,0.01269482,,,IG4,92.3,0.000102564,0.001764455,0.005056712,0.01269482,2.92,111.05,IG4,92.3,0.000102564,0.001764455,0.005056712,0.01269482,1.68,113.447,IG4,92.3,0.000102564,0.001764455,0.005056712,0.01269482
1/10/2018,3.168,103.967,IG4,92,0.000097856,0.001717972,0.004957185,0.012507437,,,IG4,92,0.000097856,0.001717972,0.004957185,0.012507437,2.923,111.024,IG4,92,0.000097856,0.001717972,0.004957185,0.012507437,1.682,113.43,IG4,92,0.000097856,0.001717972,0.004957185,0.012507437
1/11/2018,3.186,103.806,IG4,92.4,0.000104606,0.001781824,0.005090649,0.012749813,,,IG4,92.4,0.000104606,0.001781824,0.005090649,0.012749813,2.936,110.91,IG4,92.4,0.000104606,0.001781824,0.005090649,0.012749813,1.699,113.333,IG4,92.4,0.000104606,0.001781824,0.005090649,0.012749813
1/12/2018,3.211,103.579,IG4,92.2,0.000100195,0.001738317,0.004997254,0.012572908,,,IG4,92.2,0.000100195,0.001738317,0.004997254,0.012572908,2.955,110.751,IG4,92.2,0.000100195,0.001738317,0.004997254,0.012572908,1.735,113.182,IG4,92.2,0.000100195,0.001738317,0.004997254,0.012572908
1/15/2018,3.196,103.713,IG4,90.9,0.000100651,0.001743176,0.005008114,0.012594651,,,IG4,90.9,0.000100651,0.001743176,0.005008114,0.012594651,2.947,110.817,IG4,90.9,0.000100651,0.001743176,0.005008114,0.012594651,1.734,113.178,IG4,90.9,0.000100651,0.001743176,0.005008114,0.012594651
1/16/2018,3.165,103.986,IG4,90.7,0.000097342,0.001711589,0.00494191,0.012474184,,,IG4,90.7,0.000097342,0.001711589,0.00494191,0.012474184,2.92,111.028,IG4,90.7,0.000097342,0.001711589,0.00494191,0.012474184,1.715,113.243,IG4,90.7,0.000097342,0.001711589,0.00494191,0.012474184
1/17/2018,3.165,103.99,IG4,90.8,0.000100027,0.001737582,0.004996834,0.012575376,,,IG4,90.8,0.000100027,0.001737582,0.004996834,0.012575376,2.918,111.045,IG4,90.8,0.000100027,0.001737582,0.004996834,0.012575376,1.715,113.235,IG4,90.8,0.000100027,0.001737582,0.004996834,0.012575376
1/18/2018,3.185,103.805,IG4,90.9,0.000100386,0.001739989,0.005000566,0.012578387,,,IG4,90.9,0.000100386,0.001739989,0.005000566,0.012578387,2.937,110.88,IG4,90.9,0.000100386,0.001739989,0.005000566,0.012578387,1.734,113.133,IG4,90.9,0.000100386,0.001739989,0.005000566,0.012578387
1/19/2018,3.191,103.75,IG4,91.3,0.000108176,0.001813678,0.005155298,0.012862354,,,IG4,91.3,0.000108176,0.001813678,0.005155298,0.012862354,2.944,110.823,IG4,91.3,0.000108176,0.001813678,0.005155298,0.012862354,1.719,113.181,IG4,91.3,0.000108176,0.001813678,0.005155298,0.012862354
1/22/2018,3.207,103.612,IG4,90,0.000108187,0.001812871,0.005152465,0.012853917,,,IG4,90,0.000108187,0.001812871,0.005152465,0.012853917,2.944,110.818,IG4,90,0.000108187,0.001812871,0.005152465,0.012853917,1.727,113.141,IG4,90,0.000108187,0.001812871,0.005152465,0.012853917
1/23/2018,3.195,103.713,IG4,89.9,0.000106752,0.001799478,0.005124457,0.01280267,,,IG4,89.9,0.000106752,0.001799478,0.005124457,0.01280267,2.935,110.889,IG4,89.9,0.000106752,0.001799478,0.005124457,0.01280267,1.724,113.142,IG4,89.9,0.000106752,0.001799478,0.005124457,0.01280267
1/24/2018,3.247,103.257,IG4,89.8,0.000104671,0.001777545,0.005075472,0.01270431,,,IG4,89.8,0.000104671,0.001777545,0.005075472,0.01270431,2.986,110.469,IG4,89.8,0.000104671,0.001777545,0.005075472,0.01270431,1.768,112.961,IG4,89.8,0.000104671,0.001777545,0.005075472,0.01270431
1/25/2018,3.241,103.306,IG4,89.4,0.000099023,0.001724454,0.004964698,0.012503524,,,IG4,89.4,0.000099023,0.001724454,0.004964698,0.012503524,2.983,110.488,IG4,89.4,0.000099023,0.001724454,0.004964698,0.012503524,1.774,112.911,IG4,89.4,0.000099023,0.001724454,0.004964698,0.012503524
1/26/2018,3.269,103.06,IG4,89.1,0.000093773,0.001672472,0.004853612,0.012295733,,,IG4,89.1,0.000093773,0.001672472,0.004853612,0.012295733,3.013,110.242,IG4,89.1,0.000093773,0.001672472,0.004853612,0.012295733,1.811,112.757,IG4,89.1,0.000093773,0.001672472,0.004853612,0.012295733
1/29/2018,3.275,103.005,IG4,88.6,0.000099457,0.001728069,0.004971606,0.012514165,,,IG4,88.6,0.000099457,0.001728069,0.004971606,0.012514165,3.019,110.194,IG4,88.6,0.000099457,0.001728069,0.004971606,0.012514165,1.813,112.739,IG4,88.6,0.000099457,0.001728069,0.004971606,0.012514165
1/30/2018,3.289,102.881,IG4,88.6,0.000099919,0.001732263,0.004980137,0.012528956,,,IG4,88.6,0.000099919,0.001732263,0.004980137,0.012528956,3.03,110.105,IG4,88.6,0.000099919,0.001732263,0.004980137,0.012528956,1.818,112.711,IG4,88.6,0.000099919,0.001732263,0.004980137,0.012528956
1/31/2018,3.328,102.542,IG4,88.7,0.000101295,0.00174368,0.005001942,0.012562598,,,IG4,88.7,0.000101295,0.00174368,0.005001942,0.012562598,3.075,109.744,IG4,88.7,0.000101295,0.00174368,0.005001942,0.012562598,1.864,112.525,IG4,88.7,0.000101295,0.00174368,0.005001942,0.012562598
2/1/2018,3.345,102.392,IG4,88.9,0.000103999,0.001768782,0.005054003,0.012656165,,,IG4,88.9,0.000103999,0.001768782,0.005054003,0.012656165,3.098,109.553,IG4,88.9,0.000103999,0.001768782,0.005054003,0.012656165,1.879,112.44,IG4,88.9,0.000103999,0.001768782,0.005054003,0.012656165
2/2/2018,3.391,101.988,IG4,89,0.000106255,0.001789005,0.005095175,0.012728145,,,IG4,89,0.000106255,0.001789005,0.005095175,0.012728145,3.135,109.258,IG4,89,0.000106255,0.001789005,0.005095175,0.012728145,1.901,112.346,IG4,89,0.000106255,0.001789005,0.005095175,0.012728145
2/5/2018,3.383,102.06,IG4,88.9,0.000117746,0.001895423,0.00531822,0.013139442,,,IG4,88.9,0.000117746,0.001895423,0.00531822,0.013139442,3.136,109.243,IG4,88.9,0.000117746,0.001895423,0.00531822,0.013139442,1.878,112.425,IG4,88.9,0.000117746,0.001895423,0.00531822,0.013139442
2/6/2018,3.4,101.915,IG4,89.3,0.000126505,0.001974181,0.005482204,0.013441387,,,IG4,89.3,0.000126505,0.001974181,0.005482204,0.013441387,3.147,109.157,IG4,89.3,0.000126505,0.001974181,0.005482204,0.013441387,1.879,112.413,IG4,89.3,0.000126505,0.001974181,0.005482204,0.013441387
2/7/2018,3.419,101.749,IG4,89.1,0.000121384,0.001928997,0.005388993,0.0132719,,,IG4,89.1,0.000121384,0.001928997,0.005388993,0.0132719,3.168,108.991,IG4,89.1,0.000121384,0.001928997,0.005388993,0.0132719,1.902,112.317,IG4,89.1,0.000121384,0.001928997,0.005388993,0.0132719
2/8/2018,3.477,101.247,IG4,89.4,0.000128551,0.001989041,0.005509157,0.013480309,,,IG4,89.4,0.000128551,0.001989041,0.005509157,0.013480309,3.233,108.469,IG4,89.4,0.000128551,0.001989041,0.005509157,0.013480309,1.979,111.997,IG4,89.4,0.000128551,0.001989041,0.005509157,0.013480309
2/9/2018,3.452,101.458,IG4,90.1,0.000143056,0.002112289,0.005760853,0.013935124,,,IG4,90.1,0.000143056,0.002112289,0.005760853,0.013935124,3.21,108.649,IG4,90.1,0.000143056,0.002112289,0.005760853,0.013935124,1.965,112.042,IG4,90.1,0.000143056,0.002112289,0.005760853,0.013935124
2/12/2018,3.492,101.119,IG4,89.1,0.000140272,0.002088084,0.005710521,0.013841344,,,IG4,89.1,0.000140272,0.002088084,0.005710521,0.013841344,3.248,108.346,IG4,89.1,0.000140272,0.002088084,0.005710521,0.013841344,2.014,111.843,IG4,89.1,0.000140272,0.002088084,0.005710521,0.013841344
2/13/2018,3.519,100.887,IG4,89,0.000137611,0.002065311,0.005663682,0.013755593,,,IG4,89,0.000137611,0.002065311,0.005663682,0.013755593,3.277,108.118,IG4,89,0.000137611,0.002065311,0.005663682,0.013755593,2.044,111.722,IG4,89,0.000137611,0.002065311,0.005663682,0.013755593
2/14/2018,3.55,100.622,IG4,88.9,0.000135204,0.002043968,0.005618992,0.01367176,,,IG4,88.9,0.000135204,0.002043968,0.005618992,0.01367176,3.31,107.858,IG4,88.9,0.000135204,0.002043968,0.005618992,0.01367176,2.065,111.635,IG4,88.9,0.000135204,0.002043968,0.005618992,0.01367176
2/15/2018,3.547,100.649,IG4,88.7,0.000130361,0.002002199,0.005533134,0.013515394,,,IG4,88.7,0.000130361,0.002002199,0.005533134,0.013515394,3.306,107.889,IG4,88.7,0.000130361,0.002002199,0.005533134,0.013515394,2.047,111.677,IG4,88.7,0.000130361,0.002002199,0.005533134,0.013515394
2/16/2018,3.477,101.244,IG4,88.4,0.000124933,0.001957891,0.005445607,0.013366452,,,IG4,88.4,0.000124933,0.001957891,0.005445607,0.013366452,3.241,108.391,IG4,88.4,0.000124933,0.001957891,0.005445607,0.013366452,1.988,111.892,IG4,88.4,0.000124933,0.001957891,0.005445607,0.013366452
2/19/2018,3.498,101.068,IG4,88.3,0.000126522,0.001971122,0.00547202,0.013412112,,,IG4,88.3,0.000126522,0.001971122,0.00547202,0.013412112,3.262,108.226,IG4,88.3,0.000126522,0.001971122,0.00547202,0.013412112,2.002,111.831,IG4,88.3,0.000126522,0.001971122,0.00547202,0.013412112
2/20/2018,3.484,101.183,IG4,88,0.000120465,0.001918662,0.005364989,0.013220851,,,IG4,88,0.000120465,0.001918662,0.005364989,0.013220851,3.244,108.363,IG4,88,0.000120465,0.001918662,0.005364989,0.013220851,1.994,111.852,IG4,88,0.000120465,0.001918662,0.005364989,0.013220851
2/21/2018,3.458,101.404,IG4,88,0.000120863,0.001922285,0.005372572,0.01323491,,,IG4,88,0.000120863,0.001922285,0.005372572,0.01323491,3.221,108.535,IG4,88,0.000120863,0.001922285,0.005372572,0.01323491,1.983,111.885,IG4,88,0.000120863,0.001922285,0.005372572,0.01323491
2/22/2018,3.462,101.369,IG4,88.2,0.00012372,0.001947726,0.005425273,0.013331223,,,IG4,88.2,0.00012372,0.001947726,0.005425273,0.013331223,3.226,108.488,IG4,88.2,0.00012372,0.001947726,0.005425273,0.013331223,1.992,111.824,IG4,88.2,0.00012372,0.001947726,0.005425273,0.013331223
2/23/2018,3.451,101.464,IG4,88.2,0.00012549,0.001963489,0.005458008,0.013391392,,,IG4,88.2,0.00012549,0.001963489,0.005458008,0.013391392,3.22,108.534,IG4,88.2,0.00012549,0.001963489,0.005458008,0.013391392,1.991,111.821,IG4,88.2,0.00012549,0.001963489,0.005458008,0.013391392
2/26/2018,3.445,101.517,IG4,87.9,0.000126683,0.001974119,0.005480116,0.013432157,,,IG4,87.9,0.000126683,0.001974119,0.005480116,0.013432157,3.214,108.577,IG4,87.9,0.000126683,0.001974119,0.005480116,0.013432157,1.997,111.79,IG4,87.9,0.000126683,0.001974119,0.005480116,0.013432157
2/27/2018,3.496,101.079,IG4,87.9,0.00012651,0.001970893,0.005471398,0.013410563,,,IG4,87.9,0.00012651,0.001970893,0.005471398,0.013410563,3.265,108.179,IG4,87.9,0.00012651,0.001970893,0.005471398,0.013410563,2.037,111.631,IG4,87.9,0.00012651,0.001970893,0.005471398,0.013410563
2/28/2018,3.442,101.547,IG4,88.2,0.000132065,0.002020357,0.005574554,0.013602007,,,IG4,88.2,0.000132065,0.002020357,0.005574554,0.013602007,3.212,108.592,IG4,88.2,0.000132065,0.002020357,0.005574554,0.013602007,1.988,111.806,IG4,88.2,0.000132065,0.002020357,0.005574554,0.013602007
3/1/2018,3.425,101.69,IG4,88.3,0.000132911,0.002027076,0.00558766,0.013623931,,,IG4,88.3,0.000132911,0.002027076,0.00558766,0.013623931,3.182,108.816,IG4,88.3,0.000132911,0.002027076,0.00558766,0.013623931,1.976,111.827,IG4,88.3,0.000132911,0.002027076,0.00558766,0.013623931
3/2/2018,3.453,101.447,IG4,88.6,0.000140617,0.002092102,0.005720029,0.013862132,,,IG4,88.6,0.000140617,0.002092102,0.005720029,0.013862132,3.202,108.656,IG4,88.6,0.000140617,0.002092102,0.005720029,0.013862132,1.992,111.758,IG4,88.6,0.000140617,0.002092102,0.005720029,0.013862132
3/5/2018,3.502,101.029,IG4,88.1,0.000138035,0.002069548,0.005673106,0.013774761,,,IG4,88.1,0.000138035,0.002069548,0.005673106,0.013774761,3.239,108.366,IG4,88.1,0.000138035,0.002069548,0.005673106,0.013774761,2.016,111.659,IG4,88.1,0.000138035,0.002069548,0.005673106,0.013774761
3/6/2018,3.533,100.767,IG4,87.7,0.000131447,0.002013159,0.005557545,0.013564969,,,IG4,87.7,0.000131447,0.002013159,0.005557545,0.013564969,3.265,108.168,IG4,87.7,0.000131447,0.002013159,0.005557545,0.013564969,2.028,111.604,IG4,87.7,0.000131447,0.002013159,0.005557545,0.013564969
3/7/2018,3.502,101.033,IG4,87.6,0.000128419,0.001988062,0.005507351,0.013477605,,,IG4,87.6,0.000128419,0.001988062,0.005507351,0.013477605,3.24,108.36,IG4,87.6,0.000128419,0.001988062,0.005507351,0.013477605,2.012,111.656,IG4,87.6,0.000128419,0.001988062,0.005507351,0.013477605
3/8/2018,3.49,101.13,IG4,88.3,0.000143008,0.00211174,0.005759555,0.013932287,,,IG4,88.3,0.000143008,0.00211174,0.005759555,0.013932287,3.229,108.436,IG4,88.3,0.000143008,0.00211174,0.005759555,0.013932287,2.015,111.618,IG4,88.3,0.000143008,0.00211174,0.005759555,0.013932287
3/9/2018,3.511,100.954,IG4,88.1,0.000138495,0.002073542,0.00568138,0.01379006,,,IG4,88.1,0.000138495,0.002073542,0.00568138,0.01379006,3.245,108.31,IG4,88.1,0.000138495,0.002073542,0.00568138,0.01379006,2.031,111.551,IG4,88.1,0.000138495,0.002073542,0.00568138,0.01379006
3/12/2018,3.511,100.953,IG4,87.4,0.000136284,0.002055327,0.005644798,0.013725569,,,IG4,87.4,0.000136284,0.002055327,0.005644798,0.013725569,3.248,108.286,IG4,87.4,0.000136284,0.002055327,0.005644798,0.013725569,2.022,111.576,IG4,87.4,0.000136284,0.002055327,0.005644798,0.013725569
3/13/2018,3.504,101.014,IG4,87.4,0.000136126,0.002054411,0.005643437,0.013724505,,,IG4,87.4,0.000136126,0.002054411,0.005643437,0.013724505,3.239,108.349,IG4,87.4,0.000136126,0.002054411,0.005643437,0.013724505,2.023,111.563,IG4,87.4,0.000136126,0.002054411,0.005643437,0.013724505
3/14/2018,3.468,101.319,IG4,87.2,0.000132852,0.002028225,0.005592001,0.013637274,,,IG4,87.2,0.000132852,0.002028225,0.005592001,0.013637274,3.206,108.604,IG4,87.2,0.000132852,0.002028225,0.005592001,0.013637274,2.003,111.63,IG4,87.2,0.000132852,0.002028225,0.005592001,0.013637274
3/15/2018,3.476,101.245,IG4,87.2,0.000133514,0.002033875,0.00560354,0.013658081,,,IG4,87.2,0.000133514,0.002033875,0.00560354,0.013658081,3.229,108.417,IG4,87.2,0.000133514,0.002033875,0.00560354,0.013658081,2.02,111.543,IG4,87.2,0.000133514,0.002033875,0.00560354,0.013658081
3/16/2018,3.473,101.276,IG4,87.6,0.000141171,0.002098234,0.005734275,0.013892665,,,IG4,87.6,0.000141171,0.002098234,0.005734275,0.013892665,3.235,108.371,IG4,87.6,0.000141171,0.002098234,0.005734275,0.013892665,2.027,111.508,IG4,87.6,0.000141171,0.002098234,0.005734275,0.013892665
3/19/2018,3.524,100.838,IG4,87.5,0.000147875,0.002152257,0.005842015,0.014081525,,,IG4,87.5,0.000147875,0.002152257,0.005842015,0.014081525,3.278,108.032,IG4,87.5,0.000147875,0.002152257,0.005842015,0.014081525,2.062,111.37,IG4,87.5,0.000147875,0.002152257,0.005842015,0.014081525
3/20/2018,3.577,100.395,IG4,87.2,0.000142243,0.002104249,0.005743019,0.013898904,,,IG4,87.2,0.000142243,0.002104249,0.005743019,0.013898904,3.327,107.656,IG4,87.2,0.000142243,0.002104249,0.005743019,0.013898904,2.115,111.164,IG4,87.2,0.000142243,0.002104249,0.005743019,0.013898904
3/21/2018,3.626,99.987,IG4,88,0.000158978,0.00223601,0.00600375,0.014352371,,,IG4,88,0.000158978,0.00223601,0.00600375,0.014352371,3.379,107.253,IG4,88,0.000158978,0.00223601,0.00600375,0.014352371,2.175,110.935,IG4,88,0.000158978,0.00223601,0.00600375,0.014352371
3/22/2018,3.543,100.68,IG4,88,0.000159015,0.00223863,0.006011706,0.014373859,,,IG4,88,0.000159015,0.00223863,0.006011706,0.014373859,3.312,107.766,IG4,88,0.000159015,0.00223863,0.006011706,0.014373859,2.136,111.055,IG4,88,0.000159015,0.00223863,0.006011706,0.014373859
3/23/2018,3.594,100.255,IG4,87.8,0.00015359,0.002195857,0.005926573,0.01422385,,,IG4,87.8,0.00015359,0.002195857,0.005926573,0.01422385,3.349,107.481,IG4,87.8,0.00015359,0.002195857,0.005926573,0.01422385,2.16,110.958,IG4,87.8,0.00015359,0.002195857,0.005926573,0.01422385
3/26/2018,3.591,100.281,IG4,88.4,0.00016255,0.002265623,0.006064602,0.014465089,,,IG4,88.4,0.00016255,0.002265623,0.006064602,0.014465089,3.347,107.489,IG4,88.4,0.00016255,0.002265623,0.006064602,0.014465089,2.159,110.956,IG4,88.4,0.00016255,0.002265623,0.006064602,0.014465089
3/27/2018,3.567,100.481,IG5,88.8,0.000171882,0.002337516,0.006206978,0.014715742,,,IG5,88.8,0.000171882,0.002337516,0.006206978,0.014715742,3.324,107.664,IG5,88.8,0.000171882,0.002337516,0.006206978,0.014715742,2.148,110.987,IG5,88.8,0.000171882,0.002337516,0.006206978,0.014715742
3/28/2018,3.519,100.885,IG5,88.6,0.000167946,0.00230963,0.006154465,0.014630431,,,IG5,88.6,0.000167946,0.00230963,0.006154465,0.014630431,3.279,107.997,IG5,88.6,0.000167946,0.00230963,0.006154465,0.014630431,2.091,111.155,IG5,88.6,0.000167946,0.00230963,0.006154465,0.014630431
3/29/2018,3.5,101.046,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,,,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,3.264,108.111,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,2.076,111.202,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859
3/30/2018,3.5,101.046,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,,,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,3.264,108.111,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,2.076,111.202,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859
4/2/2018,3.5,101.046,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,,,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,3.264,108.111,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859,2.076,111.202,IG5,89,0.000178545,0.002390108,0.006313143,0.014908859
4/3/2018,3.513,100.933,IG5,89.1,0.000170302,0.002326113,0.006185214,0.014679531,,,IG5,89.1,0.000170302,0.002326113,0.006185214,0.014679531,3.278,108.002,IG5,89.1,0.000170302,0.002326113,0.006185214,0.014679531,2.09,111.142,IG5,89.1,0.000170302,0.002326113,0.006185214,0.014679531
4/4/2018,3.523,100.848,IG5,89,0.000169372,0.002318117,0.006168398,0.014647245,,,IG5,89,0.000169372,0.002318117,0.006168398,0.014647245,3.29,107.911,IG5,89,0.000169372,0.002318117,0.006168398,0.014647245,2.098,111.102,IG5,89,0.000169372,0.002318117,0.006168398,0.014647245
4/5/2018,3.573,100.428,IG5,88.8,0.000164805,0.002281631,0.006094618,0.014513256,,,IG5,88.8,0.000164805,0.002281631,0.006094618,0.014513256,3.341,107.514,IG5,88.8,0.000164805,0.002281631,0.006094618,0.014513256,2.13,110.964,IG5,88.8,0.000164805,0.002281631,0.006094618,0.014513256
4/6/2018,3.558,100.558,IG5,89.1,0.000169653,0.002319241,0.006169421,0.014645819,,,IG5,89.1,0.000169653,0.002319241,0.006169421,0.014645819,3.322,107.657,IG5,89.1,0.000169653,0.002319241,0.006169421,0.014645819,2.112,111.018,IG5,89.1,0.000169653,0.002319241,0.006169421,0.014645819
4/9/2018,3.569,100.463,IG5,89.2,0.000162725,0.002266365,0.006065347,0.014464431,,,IG5,89.2,0.000162725,0.002266365,0.006065347,0.014464431,3.338,107.532,IG5,89.2,0.000162725,0.002266365,0.006065347,0.014464431,2.126,110.961,IG5,89.2,0.000162725,0.002266365,0.006065347,0.014464431
4/10/2018,3.576,100.406,IG5,89,0.000158938,0.002236795,0.006006601,0.014360903,,,IG5,89,0.000158938,0.002236795,0.006006601,0.014360903,3.345,107.476,IG5,89,0.000158938,0.002236795,0.006006601,0.014360903,2.137,110.911,IG5,89,0.000158938,0.002236795,0.006006601,0.014360903
4/11/2018,3.559,100.547,IG5,89,0.000157831,0.00222847,0.005990475,0.014333656,,,IG5,89,0.000157831,0.00222847,0.005990475,0.014333656,3.33,107.59,IG5,89,0.000157831,0.00222847,0.005990475,0.014333656,2.134,110.914,IG5,89,0.000157831,0.00222847,0.005990475,0.014333656
4/12/2018,3.622,100.021,IG5,88.5,0.00014891,0.002156701,0.005846258,0.014076256,,,IG5,88.5,0.00014891,0.002156701,0.005846258,0.014076256,3.388,107.142,IG5,88.5,0.00014891,0.002156701,0.005846258,0.014076256,2.179,110.729,IG5,88.5,0.00014891,0.002156701,0.005846258,0.014076256
4/13/2018,3.589,100.294,IG5,88.6,0.000149789,0.002164318,0.005862163,0.014106207,,,IG5,88.6,0.000149789,0.002164318,0.005862163,0.014106207,3.357,107.37,IG5,88.6,0.000149789,0.002164318,0.005862163,0.014106207,2.16,110.79,IG5,88.6,0.000149789,0.002164318,0.005862163,0.014106207
